iso_code;year;nodf_drought;nodf_earthquakes;nodf_volcanic_activity;nodf_floods;nodf_storms;nodf_landslides;nodf_wildfires;nodf_extreme_temperatures
ETH;1990;0;0;0;44.7;0;2.2;0;0
ETH;2000;0;0;0.5;143.9;0;0.4;0;0
ETH;2010;0;0;0;14.7;0;6.7;0;0
ETH;2020;0;0;0;9.33;0;7.33;0;0
FJI;1950;0;0;0;0;2.3;0;0;0
FJI;1960;0;0;0;0.1;0.2;0;0;0
FJI;1970;0;0;0;0;11.5;0;0;0
FJI;1980;0;0;0;2.9;6.1;0;0;0
FJI;1990;0;0;0;0;5.9;0;0;0
FJI;2000;0;0;0;2.6;4.4;0;0;0
FJI;2010;0;0;0;1.5;5.9;0;0;0
FJI;2020;0;0;0;0;5;0;0;0
FIN;1950;0;0;0;0;0;0;0;0
FIN;1960;0;0;0;0;0;0;0;0
FIN;1970;0;0;0;0;0;0;0;0
FIN;1980;0;0;0;0;0;0;0;0
FIN;1990;0;0;0;0;0;0;0;0
FIN;2000;0;0;0;0;0;0;0;0
FIN;2010;0;0;0;0;0;0;0;0
FIN;2020;0;0;0;0;0;0;0;0
FRA;1950;0;0;0;3.5;0;0;0;0
FRA;1960;0;0.1;0;0;2.8;2.1;0;0
FRA;1970;0;1.1;0;2.9;0;11.4;0;0
FRA;1980;0;0;0;5.7;4;3;2.5;0
FRA;1990;0;0;0;6;22.5;3.4;0;4.8
FRA;2000;0;0;0;4.4;6.8;0;0.7;2089.3
FRA;2010;0;0;0;9.5;8.2;0;0;472.8
FRA;2020;0;0;0;1.33;8;0;0;641.33
GUF;1950;0;0;0;0;0;0;0;0
GUF;1960;0;0;0;0;0;0;0;0
GUF;1970;0;0;0;0;0;0;0;0
GUF;1980;0;0;0;0;0;0;0;0
GUF;1990;0;0;0;0;0;0;0;0
GUF;2000;0;0;0;0;0;1;0;0
GUF;2010;0;0;0;0;0;0;0;0
GUF;2020;0;0;0;0;0;0;0;0
PYF;1950;0;0;0;0;0;0;0;0
PYF;1960;0;0;0;0;0;0;0;0
PYF;1970;0;0;0;0;0;0;0;0
PYF;1980;0;0;0;0;0.7;1;0;0
PYF;1990;0;0;0;0;0;1.3;0;0
PYF;2000;0;0;0;0;0;0;0;0
PYF;2010;0;0;0;0;0.1;0;0;0
PYF;2020;0;0;0;0;0;0;0;0
GAB;1950;0;0;0;0;0;0;0;0
GAB;1960;0;0;0;0;0;0;0;0
GAB;1970;0;0;0;0;0;0;0;0
GAB;1980;0;0;0;0;0;0;0;0
GAB;1990;0;0;0;0;0;0;0;0
GAB;2000;0;0;0;0;0;0;0;0
GAB;2010;0;0;0;0.1;0;0;0;0
