iso_code;year;drought;earthquakes;volcanic_activity;floods;storms;landslides;wildfires;extreme_temperatures;disasters
COG;2000;0;0;28400;250;0;0;0;0;28680
COG;2010;0;1000;0;6498.7;35464.2;0;0;0;42995.9
COG;2020;0;0;0;0;0;0;0;0;0
COK;1950;0;0;0;0;0;0;0;0;0
COK;1960;0;0;0;0;0;50;0;0;66.8
COK;1970;0;0;0;0;0;0;0;0;0
COK;1980;0;0;0;0;0;0;0;0;0
COK;1990;0;0;0;7650;0;0;0;0;7850
COK;2000;0;0;0;2500;0;0;0;0;8500
COK;2010;0;0;0;21502.5;0;0;0;0;22261.4
COK;2020;0;0;0;37,550,668;0;0;0;0;37,550,668
CRI;1950;0;0;0;0;0;0;0;0;0
CRI;1960;0;0;0;0;0;0;0;0;0
CRI;1970;0;0;0;0;0;0;0;0;0
CRI;1980;0;0;0;0;200;0;0;0;200
CRI;1990;0;0;0;0;70;0;0;0;90
CRI;2000;0;0;0;0;134.4;0;0;0;135.2
CRI;2010;0;0;0;0;219.4;0;0;0;220.2
CRI;2020;0;0;0;0;0;0;0;0;0
CIV;1950;0;0;0;0;0;0;0;0;0
CIV;1960;0;0;1739.1;458;0;0;0;0;2547.4
CIV;1970;0;356.3;7000;1520;0;0;0;0;8898.5
CIV;1980;0;547.5;0;1135;12000;0;0;0;14688.5
CIV;1990;0;697;45;22737.2;73426.2;0;120;0;102385.1
CIV;2000;0;12884.2;0;28398.9;5607.4;20;0;0;46933.6
CIV;2010;0;53.7;1845;19418;6150;0;0;0;27489.2
CIV;2020;0;0;0;66,666,664;108,333,336;0;0;0;175000
HRV;1950;0;0;0;0;0;0;0;0;0
HRV;1960;0;0;0;0;0;0;0;0;0
HRV;1970;0;0;0;0;0;0;0;0;0
HRV;1980;0;0;0;700;0;0;0;0;700
HRV;1990;0;0;0;0;0;0;0;0;0
HRV;2000;0;0;0;245;0;0;0;0;1245.6
HRV;2010;0;0;0;4562.7;0;0;0;0;4629.6
HRV;2020;0;0;0;9,334,333;0;0;0;0;10083
CUB;1950;0;0;0;0;0;0;0;0;0
CUB;1960;0;0;0;0;0;0;0;0;0
CUB;1970;0;0;0;0;0;0;0;0;0
CUB;1980;0;0;0;0;0;0;0;0;0
CUB;1990;0;0;0;0;0;0;0;0;200
CUB;2000;0;0;0;205;0;0;0;0;227.6
CUB;2010;0;0;0;1343.6;350;0;0;0;1704.2
CUB;2020;0;69,790,336;0;0;0;0;0;0;76,116,336
CYP;1950;0;0;0;0;0;0;0;0;0
CYP;1960;0;0;0;0;15600;0;0;0;17403
CYP;1970;0;0;0;1800;10;0;0;0;1817.8
CYP;1980;0;0;0;26503.6;64189.1;0;0;0;100547.8
CYP;1990;82000;582.9;0;67177.3;86264;0;0;0;253480.4
CYP;2000;0;0;0;7577.5;972190.8;0;0;0;983922.7
CYP;2010;10000;0;0;1317.5;1028595.2;0;0;0;1056206.8
CYP;2020;0;0;0;7,666,667;203703.33;0;0;0;204471
CZE;1950;0;0;0;0;0;0;0;0;260
CZE;1960;0;0;0;0;300;0;0;0;310
CZE;1970;0;0;0;0;0;0;0;0;0
CZE;1980;0;0;0;0;0;0;0;0;0
CZE;1990;0;171;0;0;0;0;0;0;196.5
CZE;2000;0;0;0;0;0;0;0;0;44
CZE;2010;0;0;0;0;0;0;0;0;0
CZE;2020;0;0;0;0;0;0;50;0;50
COD;1950;0;0;0;0;0;0;0;0;0
COD;1960;0;0;0;0;0;0;0;0;0
COD;1970;0;0;0;0;0;0;0;0;0
COD;1980;0;0;0;0;0;0;0;0;0
COD;1990;0;0;0;8778.5;0;0;0;0;10216.7
COD;2000;0;0;0;21876.5;0;0;0;0;21878
COD;2010;0;0;0;130140;0;0;0;0;130140
